Date,Close,Open,High,Low,Volume,Change%
01/01/2014,4274.18,4240.39,4274.18,4232.58,,"0,00%"
02/01/2014,4327.27,4294.49,4327.27,4287.81,"2,31B","1,24%"
03/01/2014,4257.66,4297.72,4298.23,4247.99,"2,19B","-1,61%"
06/01/2014,4202.81,4259.58,4263.62,4188.38,"1,97B","-1,29%"
07/01/2014,4175.81,4206.3,4212.32,4175.81,"2,38B","-0,64%"
08/01/2014,4200.59,4183.55,4204.3,4161.19,"2,30B","0,59%"
09/01/2014,4201.22,4199.97,4216.82,4189.12,"2,76B","0,02%"
10/01/2014,4254.97,4196.69,4270.16,4190.56,"2,96B","1,28%"
13/01/2014,4390.77,4294.19,4393.32,4292.33,"4,90B","3,19%"
15/01/2014,4441.59,4402.36,4459.48,4398.12,"4,56B","1,16%"
16/01/2014,4412.49,4455.55,4457.76,4411.91,"3,21B","-0,66%"
17/01/2014,4412.23,4408.37,4429.57,4391.18,"2,92B","-0,01%"
20/01/2014,4431.57,4408.03,4435.97,4407.88,"2,65B","0,44%"
21/01/2014,4452.5,4442.35,4457.52,4440.24,"3,29B","0,47%"
22/01/2014,4477.49,4445.26,4477.49,4437.06,"3,29B","0,56%"
23/01/2014,4496.04,4495.48,4510.22,4483.25,"3,16B","0,41%"
24/01/2014,4437.34,4479.39,4480.62,4437.34,"2,41B","-1,31%"
27/01/2014,4322.78,4357.73,4360.35,4286.44,"2,70B","-2,58%"
28/01/2014,4341.65,4311.63,4353.86,4293.98,"2,53B","0,44%"
29/01/2014,4417.35,4355.93,4432.35,4355.93,"2,93B","1,74%"
30/01/2014,4418.76,4368.66,4418.76,4347.73,"2,65B","0,03%"
03/02/2014,4386.26,4407.0,4410.78,4377.54,"2,18B","-0,74%"
04/02/2014,4352.26,4335.28,4367.3,4320.78,"2,35B","-0,78%"
05/02/2014,4384.31,4378.05,4391.89,4366.03,"2,83B","0,74%"
06/02/2014,4424.71,4386.54,4424.71,4385.3,"3,43B","0,92%"
07/02/2014,4466.66,4441.72,4474.2,4440.59,"3,77B","0,95%"
10/02/2014,4450.75,4485.46,4502.77,4449.04,"3,69B","-0,36%"
11/02/2014,4470.19,4454.03,4475.15,4452.34,"3,84B","0,44%"
12/02/2014,4496.29,4489.6,4502.19,4480.97,"4,05B","0,58%"
13/02/2014,4491.66,4493.64,4500.32,4484.29,"2,93B","-0,10%"
14/02/2014,4508.04,4504.65,4512.75,4498.27,"2,86B","0,36%"
17/02/2014,4555.37,4524.53,4560.1,4524.53,"4,43B","1,05%"
18/02/2014,4556.19,4558.98,4570.31,4550.0,"4,44B","0,02%"
19/02/2014,4592.65,4559.49,4592.65,4559.33,"4,30B","0,80%"
20/02/2014,4598.22,4583.57,4598.22,4574.97,"3,61B","0,12%"
21/02/2014,4646.15,4614.89,4650.46,4613.9,"3,80B","1,04%"
24/02/2014,4623.57,4652.78,4665.27,4622.93,"3,27B","-0,49%"
25/02/2014,4577.29,4628.19,4643.11,4567.87,"3,32B","-1,00%"
26/02/2014,4532.72,4562.49,4571.06,4520.22,"3,85B","-0,97%"
27/02/2014,4568.94,4533.94,4575.33,4530.14,"3,38B","0,80%"
28/02/2014,4620.22,4581.44,4620.22,4579.55,"3,59B","1,12%"
03/03/2014,4584.2,4589.62,4589.93,4567.76,"2,85B","-0,78%"
04/03/2014,4601.28,4581.31,4602.2,4568.65,"3,37B","0,37%"
05/03/2014,4659.17,4621.12,4659.17,4621.04,"3,83B","1,26%"
06/03/2014,4687.86,4667.78,4687.86,4657.01,"4,64B","0,62%"
07/03/2014,4685.89,4700.41,4708.46,4680.5,"4,41B","-0,04%"
09/03/2014,4685.89,4685.89,4685.89,4685.89,,"0,00%"
10/03/2014,4677.25,4665.24,4689.34,4654.58,"3,68B","-0,18%"
11/03/2014,4704.21,4673.38,4706.6,4672.54,"5,06B","0,58%"
12/03/2014,4684.39,4680.7,4698.48,4667.39,"5,07B","-0,42%"
13/03/2014,4726.17,4694.92,4726.17,4691.29,"5,27B","0,89%"
14/03/2014,4878.64,4693.82,4878.64,4676.23,"6,42B","3,23%"
17/03/2014,4876.19,4887.36,4903.5,4845.78,"6,86B","-0,05%"
18/03/2014,4805.61,4878.54,4895.5,4802.02,"4,83B","-1,45%"
19/03/2014,4821.46,4817.5,4838.18,4816.71,"4,21B","0,33%"
20/03/2014,4698.97,4807.72,4808.93,4691.14,"4,68B","-2,54%"
21/03/2014,4700.22,4710.51,4736.3,4661.61,"4,63B","0,03%"
24/03/2014,4720.42,4712.12,4727.62,4695.36,"3,25B","0,43%"
25/03/2014,4703.09,4706.26,4712.77,4694.25,"3,36B","-0,37%"
26/03/2014,4728.24,4708.25,4744.9,4707.86,"3,40B","0,53%"
27/03/2014,4723.06,4721.52,4758.01,4717.73,"3,57B","-0,11%"
28/03/2014,4768.28,4737.63,4769.22,4737.22,"3,89B","0,96%"
01/04/2014,4873.93,4796.16,4873.93,4793.89,"4,61B","2,22%"
02/04/2014,4870.2,4878.34,4902.1,4857.68,"4,79B","-0,08%"
03/04/2014,4891.32,4877.32,4896.61,4876.4,"4,09B","0,43%"
04/04/2014,4857.94,4894.34,4899.21,4839.26,"3,53B","-0,68%"
07/04/2014,4921.04,4855.87,4930.88,4852.98,"4,01B","1,30%"
08/04/2014,4921.4,4922.6,4933.11,4906.07,"3,74B","0,01%"
09/04/2014,4921.4,4922.6,4933.11,4906.07,,"0,00%"
10/04/2014,4765.73,4829.31,4829.31,4739.79,"6,46B","-3,16%"
11/04/2014,4816.58,4734.31,4816.58,4721.6,"3,83B","1,07%"
14/04/2014,4864.88,4812.63,4870.1,4812.63,"3,69B","1,00%"
15/04/2014,4870.22,4872.3,4893.23,4863.01,"4,07B","0,11%"
16/04/2014,4873.01,4883.49,4893.53,4870.61,"4,26B","0,06%"
17/04/2014,4897.05,4897.2,4906.29,4883.27,"3,05B","0,49%"
21/04/2014,4892.29,4912.51,4915.2,4887.77,"2,63B","-0,10%"
22/04/2014,4898.21,4889.87,4898.21,4858.82,"3,14B","0,12%"
23/04/2014,4893.15,4892.77,4916.9,4887.27,"3,62B","-0,10%"
24/04/2014,4891.08,4891.68,4916.23,4880.85,"3,66B","-0,04%"
25/04/2014,4897.64,4893.39,4916.59,4891.27,"3,52B","0,13%"
28/04/2014,4818.76,4895.84,4901.85,4818.76,"3,22B","-1,61%"
29/04/2014,4819.68,4810.51,4823.57,4800.01,"3,27B","0,02%"
30/04/2014,4840.15,4834.23,4846.23,4827.48,"3,49B","0,42%"
02/05/2014,4838.76,4845.34,4858.91,4835.19,"3,66B","-0,03%"
05/05/2014,4842.5,4842.53,4856.34,4838.07,"2,83B","0,08%"
06/05/2014,4834.47,4845.47,4855.09,4828.64,"2,56B","-0,17%"
07/05/2014,4862.07,4833.32,4869.59,4828.22,"3,21B","0,57%"
08/05/2014,4860.89,4878.81,4889.05,4842.4,"3,00B","-0,02%"
09/05/2014,4898.14,4865.53,4898.14,4863.49,"3,38B","0,77%"
12/05/2014,4913.0,4907.74,4929.73,4907.73,"3,60B","0,30%"
13/05/2014,4921.39,4933.66,4941.24,4902.8,"3,24B","0,17%"
14/05/2014,4991.64,4938.26,4991.64,4936.53,"4,71B","1,43%"
16/05/2014,5031.57,4983.29,5031.57,4977.17,"4,23B","0,80%"
19/05/2014,5015.0,5053.05,5091.32,4976.4,"4,66B","-0,33%"
20/05/2014,4895.95,5009.62,5010.2,4865.32,"4,03B","-2,37%"
21/05/2014,4910.29,4885.48,4913.41,4868.2,"3,17B","0,29%"
22/05/2014,4969.88,4931.36,4974.12,4926.07,"3,85B","1,21%"
23/05/2014,4973.06,4973.54,4977.5,4959.17,"2,84B","0,06%"
25/05/2014,4973.06,4973.06,4973.06,4973.06,,"0,00%"
26/05/2014,4963.93,4984.69,4986.09,4961.43,"2,52B","-0,18%"
28/05/2014,4985.58,4959.54,4988.19,4957.81,"2,90B","0,44%"
30/05/2014,4893.91,4996.7,4998.09,4893.91,"4,04B","-1,84%"
02/06/2014,4912.09,4900.97,4912.09,4875.62,"3,09B","0,37%"
03/06/2014,4942.16,4920.05,4942.16,4896.95,"3,08B","0,61%"
04/06/2014,4932.56,4933.12,4946.89,4919.92,"2,70B","-0,19%"
