Date,Close(t-10),Open(t-10),High(t-10),Low(t-10),Sentiment_Score(t-10),Close(t-9),Open(t-9),High(t-9),Low(t-9),Sentiment_Score(t-9),Close(t-8),Open(t-8),High(t-8),Low(t-8),Sentiment_Score(t-8),Close(t-7),Open(t-7),High(t-7),Low(t-7),Sentiment_Score(t-7),Close(t-6),Open(t-6),High(t-6),Low(t-6),Sentiment_Score(t-6),Close(t-5),Open(t-5),High(t-5),Low(t-5),Sentiment_Score(t-5),Close(t-4),Open(t-4),High(t-4),Low(t-4),Sentiment_Score(t-4),Close(t-3),Open(t-3),High(t-3),Low(t-3),Sentiment_Score(t-3),Close(t-2),Open(t-2),High(t-2),Low(t-2),Sentiment_Score(t-2),Close(t-1),Open(t-1),High(t-1),Low(t-1),Sentiment_Score(t-1),Close(t),Open(t),High(t),Low(t),Sentiment_Score(t)
2014-01-20,4257.66,4297.72,4298.23,4247.99,-1.0,4202.81,4259.58,4263.62,4188.38,-1.0,4175.81,4206.3,4212.32,4175.81,-0.3333333333333333,4200.59,4183.55,4204.3,4161.19,-0.3333333333333333,4201.22,4199.97,4216.82,4189.12,0.0,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0
2014-01-21,4202.81,4259.58,4263.62,4188.38,-1.0,4175.81,4206.3,4212.32,4175.81,-0.3333333333333333,4200.59,4183.55,4204.3,4161.19,-0.3333333333333333,4201.22,4199.97,4216.82,4189.12,0.0,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333
2014-01-22,4175.81,4206.3,4212.32,4175.81,-0.3333333333333333,4200.59,4183.55,4204.3,4161.19,-0.3333333333333333,4201.22,4199.97,4216.82,4189.12,0.0,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333
2014-01-23,4200.59,4183.55,4204.3,4161.19,-0.3333333333333333,4201.22,4199.97,4216.82,4189.12,0.0,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333
2014-01-24,4201.22,4199.97,4216.82,4189.12,0.0,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333
2014-01-27,4254.97,4196.69,4270.16,4190.56,1.0,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0
2014-01-28,4390.77,4294.19,4393.32,4292.33,1.0,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0
2014-01-29,4441.59,4402.36,4459.48,4398.12,1.0,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0
2014-01-30,4412.49,4455.55,4457.76,4411.91,0.0,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0
2014-02-03,4412.23,4408.37,4429.57,4391.18,-1.0,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0
2014-02-04,4431.57,4408.03,4435.97,4407.88,1.0,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0,4352.26,4335.28,4367.3,4320.78,-1.0
2014-02-05,4452.5,4442.35,4457.52,4440.24,0.3333333333333333,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0,4352.26,4335.28,4367.3,4320.78,-1.0,4384.31,4378.05,4391.89,4366.03,1.0
2014-02-06,4477.49,4445.26,4477.49,4437.06,0.3333333333333333,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0,4352.26,4335.28,4367.3,4320.78,-1.0,4384.31,4378.05,4391.89,4366.03,1.0,4424.71,4386.54,4424.71,4385.3,1.0
2014-02-07,4496.04,4495.48,4510.22,4483.25,0.3333333333333333,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0,4352.26,4335.28,4367.3,4320.78,-1.0,4384.31,4378.05,4391.89,4366.03,1.0,4424.71,4386.54,4424.71,4385.3,1.0,4466.66,4441.72,4474.2,4440.59,1.0
2014-02-10,4437.34,4479.39,4480.62,4437.34,0.3333333333333333,4322.78,4357.73,4360.35,4286.44,-1.0,4341.65,4311.63,4353.86,4293.98,-1.0,4417.35,4355.93,4432.35,4355.93,1.0,4418.76,4368.66,4418.76,4347.73,-1.0,4386.26,4407.0,4410.78,4377.54,-1.0,4352.26,4335.28,4367.3,4320.78,-1.0,4384.31,4378.05,4391.89,4366.03,1.0,4424.71,4386.54,4424.71,4385.3,1.0,4466.66,4441.72,4474.2,4440.59,1.0,4450.75,4485.46,4502.77,4449.04,0.3333333333333333
